user,query,product,explanation,previous_reviews
A2CV33795L4KHH,home improvement power hand tool screwdriver,B00002X29G,This product was retrieved because 'A2CV33795L4KHH' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) perfect set of screwdriver for teeny tiny job i bought this set to fix a pair of eyeglasses that had loose screw the smallest screwdriver in this kit was perfect for that job so mission accomplished the tops of each screwdriver twirl independent from the shaft meaning you can keep a finger on top of the head to stabilize the driver while youre screw sorry there no other way to say that the box suggest these screwdriver can be use for repair eyeglasses camera watches fishing reel hobby electronics and small appliance i think this set will come in very handy
2) gorgeous and practical this is a cool sleek case for the iphone g it fit like a glove and do not add any bulk to the overall size of the iphone so it still fit in your pocket or other small compartment the cutout keep your control buttons and camera lens use the case is very comfortable to hold and definitely keeps the iphone from slip out of your hand so easily that in itself make it worth the money it looks great and the ifrogz logo is barely visible so it doesnt look tacky one thing i really like is that you can slip the case over the touchscreen to protect it if you know its go to be in harm way eg in the bottom of your purse or other bag for a long time the control are not use when the case is in that position but your screen is protect this is a great protector for my new favorite gadget"
A2CV33795L4KHH,home improvement power hand tool set,B00002X29G,This product was retrieved because 'A2CV33795L4KHH' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) perfect set of screwdriver for teeny tiny job i bought this set to fix a pair of eyeglasses that had loose screw the smallest screwdriver in this kit was perfect for that job so mission accomplished the tops of each screwdriver twirl independent from the shaft meaning you can keep a finger on top of the head to stabilize the driver while youre screw sorry there no other way to say that the box suggest these screwdriver can be use for repair eyeglasses camera watches fishing reel hobby electronics and small appliance i think this set will come in very handy
2) gorgeous and practical this is a cool sleek case for the iphone g it fit like a glove and do not add any bulk to the overall size of the iphone so it still fit in your pocket or other small compartment the cutout keep your control buttons and camera lens use the case is very comfortable to hold and definitely keeps the iphone from slip out of your hand so easily that in itself make it worth the money it looks great and the ifrogz logo is barely visible so it doesnt look tacky one thing i really like is that you can slip the case over the touchscreen to protect it if you know its go to be in harm way eg in the bottom of your purse or other bag for a long time the control are not use when the case is in that position but your screen is protect this is a great protector for my new favorite gadget"
A26H1ZD3UQLFAD,home improvement power hand tool screwdriver,B00002X29G,This product was retrieved because 'A26H1ZD3UQLFAD' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) avoid this battery and everything sold by power sell seeing is how the star review on this item are from fake user who seem to be trash talk other iphone battery seller and staring there own is pretty mess up so therefore it appear this seller is some type of scammer
2) slightly different but still good quality so far the iphone screen ship fast got it in days with prime the screen do look slightly different in sunlight for some reason it works good however if pressure is placed on the top or bottom off screen you can see white pressure like push on an old lcd while its on which is not an issue if your not screw around and normal use im am curious to see how it hold up long term but i will probably sell it soon to buy a new phone
3) sticky if my gs screen glass would ever arrive i could rate the quality but i will update later once it arrive from
4) day great button fixed my home button problem success i was have unresponsive home button unless you press hard on it put this puppy in and its perfect read some of your review so i hope it stays that wayit has been month since i install this home button still working perfectly stars
5) do what its supposed to but watch out i switch between phone and while one phone is not in use galaxy s i kept the adapter in the sim tray do not do this i was remove the sim adapter to put my sim in and it wont come out without rip your sim tray prong to shred so i now have to buy a simcard reader replacement"
A26H1ZD3UQLFAD,home improvement power hand tool set,B00002X29G,This product was retrieved because 'A26H1ZD3UQLFAD' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) avoid this battery and everything sold by power sell seeing is how the star review on this item are from fake user who seem to be trash talk other iphone battery seller and staring there own is pretty mess up so therefore it appear this seller is some type of scammer
2) slightly different but still good quality so far the iphone screen ship fast got it in days with prime the screen do look slightly different in sunlight for some reason it works good however if pressure is placed on the top or bottom off screen you can see white pressure like push on an old lcd while its on which is not an issue if your not screw around and normal use im am curious to see how it hold up long term but i will probably sell it soon to buy a new phone
3) sticky if my gs screen glass would ever arrive i could rate the quality but i will update later once it arrive from
4) day great button fixed my home button problem success i was have unresponsive home button unless you press hard on it put this puppy in and its perfect read some of your review so i hope it stays that wayit has been month since i install this home button still working perfectly stars
5) do what its supposed to but watch out i switch between phone and while one phone is not in use galaxy s i kept the adapter in the sim tray do not do this i was remove the sim adapter to put my sim in and it wont come out without rip your sim tray prong to shred so i now have to buy a simcard reader replacement"
A20NNP27IOW3OP,home improvement power hand tool screwdriver,B00002X29G,This product was retrieved because 'A20NNP27IOW3OP' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) work for just what i need i had to pop open my samsung galaxy s to fix it up but none of the tool i had work or fit these work perfectly and fit the screw and took it apart with ease compact and easy to carry aroundit arrive on time and in good shape thanks
2) it works and quite well might i add id have to say that it give me about more battery life than the average battery im not a and i certainly havent put it through the roughest of test but i notice that it can last me just about all day when all i do is place with my phone nonstop play games stream movies and youtube and nonstop by the end of the day i still have a large of battery life leftthi also works well together with the hyperion samsung galaxy note battery honeycomb matte tpu case which is about the only case that fit over this huge bad boy and keeps it protectedthe item arrive on time with no crack or bruise and work perfectly even up until now"
A20NNP27IOW3OP,home improvement power hand tool set,B00002X29G,This product was retrieved because 'A20NNP27IOW3OP' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) work for just what i need i had to pop open my samsung galaxy s to fix it up but none of the tool i had work or fit these work perfectly and fit the screw and took it apart with ease compact and easy to carry aroundit arrive on time and in good shape thanks
2) it works and quite well might i add id have to say that it give me about more battery life than the average battery im not a and i certainly havent put it through the roughest of test but i notice that it can last me just about all day when all i do is place with my phone nonstop play games stream movies and youtube and nonstop by the end of the day i still have a large of battery life leftthi also works well together with the hyperion samsung galaxy note battery honeycomb matte tpu case which is about the only case that fit over this huge bad boy and keeps it protectedthe item arrive on time with no crack or bruise and work perfectly even up until now"
A2RETTA258TE99,home improvement power hand tool screwdriver,B00002X29G,This product was retrieved because 'A2RETTA258TE99' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) five stars work great
2) five stars good quality fast shipping
3) four stars easy to apply"
A2RETTA258TE99,home improvement power hand tool set,B00002X29G,This product was retrieved because 'A2RETTA258TE99' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) five stars work great
2) five stars good quality fast shipping
3) four stars easy to apply"
A3QNDSQJFA360M,home improvement power hand tool screwdriver,B00002X29G,This product was retrieved because 'A3QNDSQJFA360M' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) very complete tool i got this to try and replace a screen found out im not a phone repair person it did have what i need lacking skill need to do the job i can replace my hard drive in my home computer and add memory this take allot more skill if you have the skill the tool are great and very complete i had everything the video said i need minus the skill
2) love mine so much i bought gift this was a gift for christmas i love mine so much that i gave it to my sister brotherinlaw and my daughter they all love this and use it often i remember that my sister had to have her car service and was calling me she told me her phone was go dead so she limited her call i remind her of her power bank i bought her she said she meant to put it in her purse but forgot to needless to say she put it in her purse when she got home its so small you can keep it easily at the ready to charge at anytime i love this"
A3QNDSQJFA360M,home improvement power hand tool set,B00002X29G,This product was retrieved because 'A3QNDSQJFA360M' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) very complete tool i got this to try and replace a screen found out im not a phone repair person it did have what i need lacking skill need to do the job i can replace my hard drive in my home computer and add memory this take allot more skill if you have the skill the tool are great and very complete i had everything the video said i need minus the skill
2) love mine so much i bought gift this was a gift for christmas i love mine so much that i gave it to my sister brotherinlaw and my daughter they all love this and use it often i remember that my sister had to have her car service and was calling me she told me her phone was go dead so she limited her call i remind her of her power bank i bought her she said she meant to put it in her purse but forgot to needless to say she put it in her purse when she got home its so small you can keep it easily at the ready to charge at anytime i love this"
A2IKMGJVXJ4O6A,home improvement power hand tool screwdriver,B00002X29G,This product was retrieved because 'A2IKMGJVXJ4O6A' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) love it i rate this stars love this product great price and quality love how it works with my iphone and it come with a lot of tool which is great in case you misplace one of them
2) love it i rate this product stars i bought this for my ipad and realize it doesnt fit my ipad so i show it to my friend and she fell in love with it so i gave it to her it fit very well i recommend this product to anyone"
A2IKMGJVXJ4O6A,home improvement power hand tool set,B00002X29G,This product was retrieved because 'A2IKMGJVXJ4O6A' often buys products of brand 'Mountek' and 'B00002X29G' is also associated with brand 'Mountek',"1) love it i rate this stars love this product great price and quality love how it works with my iphone and it come with a lot of tool which is great in case you misplace one of them
2) love it i rate this product stars i bought this for my ipad and realize it doesnt fit my ipad so i show it to my friend and she fell in love with it so i gave it to her it fit very well i recommend this product to anyone"
