Query	electronics portable audio video mp player accessory charger
User ID	A213TODD3NSSPE	Reviews	nice pro i order two of the plantronic voyager pro one for me and one for my father the shipping on the item was great i order on a thursday and received my plantronic on shipping great price i have been wearing the plantronic for days and i like it it is not heavy some people say it is cheap but as a lady i like that it is not heavy and it is flexible it connected to my blackberry torch with no problem the sound it greatmy father love his new plantronic it fit great the price was great and the sound is good and no problem with connect with his phonei only have one problem with the plantronic bluetooth it do not fit my ear real good i wear eyeglasses so it is not a good fit i am go to try and deal with the fit because i like the bluetooth but before my return date expire if i can not deal with the fit i will have to return it which i would hate to	great case this is a great case if you are look for a case to protect you iphone you should buy this my husband love his new case it cover the phone the price was great i had search for the otterbox defend case and the price was to much but this was a great buy well worth the money and he wants another just to have a back up lol love case	cover sheet i had a issue with not get my product i contact the company and they respond to me asap and within a few days i received my product which works great on my bb torch	snap on case great product and fast shipping this item ready do protect my blackberry the only thing is if you drop your phone the case break eas if the shipping didnt cost so much i would order more	nice case i love this case i got so many compliments about my case but it was broke and i contact the company and they treat me great i will be order me and some of my friends this case i want to thank the company for hand my issue and they can look forward to me order other																	
Product	B00DUKJ5CQ	https://www.amazon.com/dp/B00DUKJ5CQ						0	0	0														
48.17154	User/query--<bought_together>--B00GH0JXAK(https://www.amazon.com/dp/B00GH0JXAK)--<bought_together>--Product																							
39.77633	User/query--<bought_together>--B00HIZYCM2(https://www.amazon.com/dp/B00HIZYCM2)--<bought_together>--Product																							
36.98064	User/query--<also_viewed>--B00KBMRNQG(https://www.amazon.com/dp/B00KBMRNQG)--<bought_together>--Product																							
																								
Query	electronics computer touch tablet accessory screen protector																							
User ID	APPOPJ6Q3X5V5	Reviews	motorola h compact stylish and very comfortable current one of the only headset known to work well with the htc mogul i wear it all day and never run out of my charge and sometimes even forget that i am wearing it because it is so lighweight and comfortable amazon has top price on this product too i could buy two here for what id pay full retail elsewhere sound is clear on both my end and the receiver end great product and great value	great case for low price i like the fact that this case is clear so that it doesnt interfere with the color and looks of my phone yet it afford protection from scratch and drops price cannot be beat either the only complaint i could have and it isnt really the fault of this case is that the power button has such little travel that it is slightly difficult to depress for onoff the fact that the case is made of the gel substance though allow it enough give to press the button	great case for very reasonable amount the case is not too thick so it doesnt add a lot of bulk to an already large phone the onoff button is a little difficult to press sometimes but this is because of the design of the note and not the case the switch doesnt much so any case that would wrap around the edge is go to make it hard to press the onoff at least the material is a flexible gel for this case which allow for some give when depress the switchthe one thing i dislike about the case is the backside is not total clear which is what i want you can see in the picture the fancy s swirl on the back the left most portion of it has a frost look and is not completely see through i love the color of my titanium gray note and bought this case because it was describe as clear its still a really nice case and especially for the price but that remove a star for me	cruzerlite green androidify case normally as long as a case fit nicely and is decent look that is good enough for me that is until i picked up this cruzerlite green androidify tpu case off of amazon first this case is very nice look i love the green and the android guy on the back really make this case unique the fit is nice and snug and i really appreciate that the cutout are nicely cut ive had another tpu style case for my note and with it i had to press extra hard to push the onoff button with this cruzerlite case pressing the buttons is no long and issue to top it all off i think the price is really hard to beat especially considering the quality of the case itself for now on i will always look first to cruzerlite to supply my case needs i only wish i had done the buy two get one free special they have so many color option you can change them out base on your mood for the day	a great case that the casual observer cannot tell is on there my favorite part of this case is people telling me im brave not to be use a case it is unobtrusive yet the protection is there were talk a beautiful made phone that still looks beautiful yet im allow for a drop that can keep me from have a ding in that metal because ive got this case on it fit nice and snug and the price is unbeatable this will be a case model i look to in the future great for someone who take great care with their phone but needs the protection for the accidental drop																	
Product	B008OHNZI0	https://www.amazon.com/dp/B008OHNZI0						0	0	0														
34.83354	User/query--<bought_together>--B009QQMEEY(https://www.amazon.com/dp/B009QQMEEY)--<bought_together>--Product																							
34.25235	User/query--<bought_together>--B00IIWKQWE(https://www.amazon.com/dp/B00IIWKQWE)--<bought_together>--Product																							
15.18278	User/query--<write_based_on_query>--antiglare(word)--<write>--Product																							
																								
Query	electronics accessory computer component																							
User ID	A35GXJNRA7NJY4	Reviews	motorola command one bluetooth headset im a everyday bicyclist the command one allow me to answer incoming call answer text message and listen to my music while still have both hand on the handle bar the double mic system make it easy to hear and for other to hear me i love it and i depend on it to communicate while still being safe	ikross stainless steel capacitive stylus with ball point pen black i like this stylus for several reason first i wear glove a lot and it allow me to operate my droid without remove my glove second the opposite end is a refill pen which mean i do not have to carry a pen and a stylus so yes thumb up for me on this ikross pen	product review fit the screen well easy to apply and do what it was design to do that all i want from it and at a very afford price	empire rubberize hard case cover fit like a glove feel great to my touch and i love it lighting shipping and well package so i rate it as a great buy																		
Product	B008OHNZI0	https://www.amazon.com/dp/B008OHNZI0						0	0	0														
23.14942	User/query--<bought_together>--B009QQMEEY(https://www.amazon.com/dp/B009QQMEEY)--<bought_together>--Product																							
8.18843	User/query--<write_based_on_query>--armor(word)--<write>--Product																							
8.08982	User/query--<write_based_on_query>--bubble(word)--<write>--Product																							
																								
Query	electronics computer touch tablet accessory screen protector																							
