sample_id,user,query,product,attention_weight,drem_explanation,drem_attn_explanation,previous_reviews,title,image,description
154137-28377-855-171,A3ICHEO78NFE4Y,tv movies,6301977173,0.975444,"1. This product was retrieved because the user often buys products of brand 'BitFenix' and '6301977173' is also associated with brand 'BitFenix'
2. This product was retrieved because the user often buys products of brand 'Canon' and '6301977173' is also associated with brand 'Canon'
3. This product was retrieved because the user often buys products in category 'Blank Video Media' and '6301977173' is also associated with category 'Blank Video Media'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B00ICDAAX4' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to product 'B006U3O566' which is also related to the query
","1) the best tom sawyer i ever saw this movie was play at radio city music hall back in the days of the show it was also present in mm on that huge radio city screen i remember how impress i was with that opening scene with the steam boat go down the river and you see tom running thru the field and the music build more and more wowwhat a great movie seen many version of but this one seem to be the best ever brought to the screen maybe because its a musical whatever made this so successful back then you will not be disappointed by its and scope a must for ever america kid and adult too this is as red white and blue as it get and now must be the most politics incorrect movie ever made hehe buy it before some group put a ban on it which should want you to buy this for the kid even more they dont make them like this anymore
2) presentation is the best everything has already been said about the technical standing of this wonderful unit my review is about presentation this is often over look with people like me that has a screen and seating for and running when possible i have two of these unit the best feature is you can cue up a preview on one unit and cue up your feature on the second unit it take about seconds to change over from one unit to the other and if you time your trailer preview correct you can close your curtain and reopen it after the trade mark of your feature you can not do this with any other make of bluray player working in picture theatre all my life presentation is everything its a lost art in today modern theatre",Tom Sawyer [VHS],https://images-na.ssl-images-amazon.com/images/I/21J51BBX9WL._AC_.jpg,[]
55362-28377-855-172,A1NS6O584WD5FJ,tv movies,6301977173,0.9897104,"1. This product was retrieved because the user often buys products of brand 'Canon' and '6301977173' is also associated with brand 'Canon'
2. This product was retrieved because the user often buys products in category 'Blank Video Media' and '6301977173' is also associated with category 'Blank Video Media'
3. This product was retrieved because the user often buys products of brand 'BitFenix' and '6301977173' is also associated with brand 'BitFenix'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B002VPE1WK' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to product 'B004Q3R9AQ' which is also related to the query
","1) wholesome and entertaining bit of this is a wellmade and musical version of the tom sawyer story it do not follow the book exactly but the substance is there charming performance by then child actor johnny tom and foster becky thatch and celeste holm as aunt polly i thorough enjoy this movie i rent it for my granddaughter school project and wound up watch it times it took me back to my childhood of play with the children next door in a more worldhigh recommend
2) excellent ive use this spray for years i always works well i like it for pencil sketch you can even use it for watercolor i have spray a few of my keepsake painting from famous teacher of mine not something to do without being confident of your spray spray watercolor can be frame without glass something to consider with large painting since glass can be really heavy and acrylic can be expensive stephen quill share a while back that he spray his large painting now as an alternative to covering them with glass since its difficult and expensive to ship heavy large painting cover with quill ship a lot of his painting considerable distance see his books and dvd here on amazon for example color choice painter guide to colors etchigh recommend
3) great sound comfortable fit the sound is loud when you wish and clear also pleasant mellow several member of my family have try them including me and we all like themthe cost seem reasonable especially for the good soundan especially good feature is the included earsleeve of different size this is important since if they are too small or too large they just wont stay in and you can choose a size you find most comfortable also its true the cord is not easily recommend for anyone look for this type of audio device",Tom Sawyer [VHS],https://images-na.ssl-images-amazon.com/images/I/21J51BBX9WL._AC_.jpg,[]
191117-20597-816-2494,A10LWFKVC21F82,product office electronics accessory cord telephone,B00004U8K4,0.9098432,"1. This product was retrieved because the user often buys products in category 'Telephone Accessories' and 'B00004U8K4' is also associated with category 'Telephone Accessories'
2. This product was retrieved because the user often buys products of brand 'Plantronics' and 'B00004U8K4' is also associated with brand 'Plantronics'
3. This product was retrieved because the user often buys products in category 'Headsets' and 'B00004U8K4' is also associated with category 'Headsets'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B00F6E8OUS' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to product 'B0058UUR6E' which is also related to the query
","1) no microphone volume this is a solid well built unit that i have no problem use or hearing the only problem i have is that there is no volume control for the microphone which seem to be an exception for most plantronic headset ive seen i have to really speak up to get caller to hear me even after adjust the microphone boom to the position that give the highest volume
2) better than power strip hand down i bought two and threw a power squid and power strip away for computer gear you want this one because it do not include an off switch which can unexpected shut down your computer the flexible cords allow me to better organize equipment under my desk great product
3) prone to damage this work fine for a while but then the clip on one of ethernet jack broke off which make it useless because it wont stay plug in this is a great idea but the manufacturer should have add boots to protect the plastic clip you only find boots on higher quality ethernet cable and for permanent connected cable left in place theyre superfluous in this case because the cable get a lot of abuse while travel a boot is nearly require for longevity additional the housing is quite a bit big than i was expect im not a fan of belkin but im go to try their version which is obviously small and less than half the price on amazon it was fine for the few week it last but not worth the price for the amount of use i got out of it
4) great keyboard update after monthsthe enter key has become mushy and require a lot of pressure to register a key press will be send this in for a warranty replacement this is really disappointing and doesnt bode well for longevity my prior keyboard was years old and still go strong in fact ill likely have to switch back to that while wait for a replacement between this keyboard issue and quality control issue with mice google logitech double click i dont think ill be buy any more logitech product they perform well for a short time but theyve consistent been break down the mouse i had before the quirky logitech version was years old btwso im not hard on reviewthi is a super sexy look keyboard that feel great i thought it had chiclet key look at the picturethat actually what i want however its a shallow keyboard with good key travel feel so im happy early reviewer mention an issue with key block but i am not seeing it i type to wpm so if this was an issue in early model its been fixed since i would buy this again in a heartbeat
5) works but with it had a lanyard this works but wish it had a lanyard like the amzer mini to micro converter this is too easy to get lost in a bag and it would be better if there were a way to attach it to the end of a cable",Plantronics T20 Corded 2-Line Convertible Headset Telephone,https://images-na.ssl-images-amazon.com/images/I/41v-YHAsYqL._AC_.jpg,"['Adjustable noise-canceling headset with microphone', '3-way conference calling', 'Online and mute indicators', 'Flash, redial, and hold features', 'Connects to existing telephone jacks']"
95722-20597-816-2495,A19J4IR55H1NZI,product office electronics accessory cord telephone,B00004U8K4,0.98804444,"1. This product was retrieved because the user often buys products in category 'Telephone Accessories' and 'B00004U8K4' is also associated with category 'Telephone Accessories'
2. This product was retrieved because the user often buys products of brand 'Plantronics' and 'B00004U8K4' is also associated with brand 'Plantronics'
3. This product was retrieved because the user often buys products of brand 'Logitech' and 'B00004U8K4' is also associated with brand 'Logitech'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B001T99ZTI' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to product 'B004LTEUDO' which is also related to the query
","1) plantronic t perfect deadly plantronic t perfect would be the perfect headset phone if not for a few deadly misstep that led me to return build solid the right size the right features buttons for mute hold red conference and flash plus volume and tone control and the mute has a red indicator so you dont forget although id prefer an indicator that flash like on the polycom conference phonesalso high quality sound in the headset i could hear the other party perfectly with only a faint background start with the most seriousthe people i talk with said that i sound distant it appear that the microphone doesnt come forward far enough to pick up my voice wellthe headset cord is not shield and pick up noise from the computer in particular i had to be careful to route the cord so that it avoid the keyboard or it picked up a loud tone both party heardthe headset cord is very thin and i worried that a minor mistake such as catching it in a close a desk drawer would seriously damage itthere is no headset for the t that cover both ear binaural i call to verify this although the headset jack in the base is physically compatible with the binaural headset from my m the headset from the m do not work with the tit seem like they could make this the perfect phone just by making a few straightforward engineering change but until there was always a low hiss in the headset in look into noisecancele technology i learned that these system typically introduce a hiss of their own in a noisy environment you dont notice the hiss because the noise the circuitry take out is much greater than the hiss it add but in a quiet environment like mine there is no benefit to the noisecancele feature and you hear the hiss i cant guarantee that this was the source of the hiss i heard but it seem likely there is no way to disable the noisecancele circuitry i dont think the amazon list mention the noisecancele feature of this phone but its on the box
2) very well made im skeptical about the audio improvement some claim for these stabilizer or clamp in generalbut then truth be told i bought this for the visual impact something to make the turntable a little more interesting and for that this is just fine they claim its made by cnc computer numerical control and i can believe that easily the manufacture is flawlessand its not to high to stop the turntable lucite cover from close but that vary with the turntable so you should measure your headroom before order
3) nice player excellent value looks good works perfectly no complaint if you need a basic cd player you would be very happy with this one
4) no problem i just plug it into a usb jack and it works perfectly note that it is very small and would be easy to misplace
5) nice very nice although my threeyearold sony vaio only support usb i didnt want a hub that would become obsolete with my next computer and i didnt want an unpowered hub that wouldnt host device such as my external usb hard drive this fill the bill i am not support usb the usb hard drive are usb device and they work perfectly with this hub and my usb computera nice feature is that there is a blue led for each usb port and the led turn on when the device is logically connected to the computer so if you plug in a device and the light doesnt come on you know the computer is not recognize the devicenote that this hub is large than your typical usb hub that not a complaint only an observationthe hub is quite lite personally i wish it were heavy and had nonskid feet to keep if from moving around on the desk but this is a recommendedupdate after is still working highly recommend",Plantronics T20 Corded 2-Line Convertible Headset Telephone,https://images-na.ssl-images-amazon.com/images/I/41v-YHAsYqL._AC_.jpg,"['Adjustable noise-canceling headset with microphone', '3-way conference calling', 'Online and mute indicators', 'Flash, redial, and hold features', 'Connects to existing telephone jacks']"
90556-20597-816-2496,A1EC1IGNE6G5UP,product office electronics accessory cord telephone,B00004U8K4,0.9712334,"1. This product was retrieved because the user often buys products in category 'Telephone Accessories' and 'B00004U8K4' is also associated with category 'Telephone Accessories'
2. This product was retrieved because the user often buys products of brand 'Plantronics' and 'B00004U8K4' is also associated with brand 'Plantronics'
3. This product was retrieved because the user often buys products in category 'Headsets' and 'B00004U8K4' is also associated with category 'Headsets'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B0027VT6V4' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to product 'B000M2TAN4' which is also related to the query
","1) good for listen not for talk ive use plantronic headset for years i was surprise that there was no volume adjust for the mic every other plantronic headset ive use had one i must have had a dozen people tell me they could hardly hear me in days of use no amount of adjust the headset position on my head solve the problem i had to pull the mic nearly into my mouth for people to hear me other than that it was perfect im return it
2) i like it a lot ive been use this keyboard for a few month now and really find it comfortable and well built i havent really use any of the custom option but may once i get a bit more time in the latter part of the year the only drawback ive notice is that the key action sometimes seem to have a bit of resistance i only notice it when i use a single key repetition eg j for the next item in google reader there seem to be just a slight bit of sticky probably because i am push the key instead of tap it as in normal type wasnt sure id like the palm rest but i definitely do very comfortable",Plantronics T20 Corded 2-Line Convertible Headset Telephone,https://images-na.ssl-images-amazon.com/images/I/41v-YHAsYqL._AC_.jpg,"['Adjustable noise-canceling headset with microphone', '3-way conference calling', 'Online and mute indicators', 'Flash, redial, and hold features', 'Connects to existing telephone jacks']"
178792-62829-896-4376,AM4NZRK0EFPU,clothing shoe jewelry women wrist watches,B000051SEN,0.7286658,"1. This product was retrieved because the user often buys products of brand 'Garmin' and 'B000051SEN' is also associated with brand 'Garmin'
2. This product was retrieved because the user often buys products in category 'Clothing, Shoes & Jewelry' and 'B000051SEN' is also associated with category 'Clothing, Shoes & Jewelry'
3. This product was retrieved because the user often buys products in category 'Sports & Handheld GPS' and 'B000051SEN' is also associated with category 'Sports & Handheld GPS'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B001QFZMCO' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to product 'B000TG4BA0' which is also related to the query
","1) a great watchbut the aluminium is perfect ive bought this one and works perfectly but ive change it for a with aluminium case wich one is perfect
2) a nice gadget great piece in according to the specification but i recommend a big one if you have a lot of video
3) a niece watch its in according to the specification ant the price is great but i think its better to spend a little bit more and buy a jbl",SUUNTO Altimax Altimeter Barometer Watch,https://images-na.ssl-images-amazon.com/images/I/71wOKJT7ypL._AC_UX679_.jpg,"['Imported', 'Watch, altimeter, barometer, and compass in one', 'Altimeter with 24-hour memory and logbook', 'Bubble level for accurate compass readings', '3 alarms, stopwatch, and countdown timer', 'Stylish design, waterproof to 100 feet']"
161252-9923-354-11587,A3IL5XA8XYBPUD,software design illustration,B00006SIJQ,0.99213,"1. This product was retrieved because the user often buys products of brand 'Logitech' and 'B00006SIJQ' is also associated with brand 'Logitech'
2. This product was retrieved because the user often buys products in category 'Software' and 'B00006SIJQ' is also associated with category 'Software'
3. This product was retrieved because the user often buys products of brand 'Apple' and 'B00006SIJQ' is also associated with brand 'Apple'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B0026RHUQC' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to product 'B0052YFYFK' which is also related to the query
","1) many useful features very easy to use only minor glitche punch as is very stable especially for the wide set of features and capabilities it provide it has never crash for me use window xp this indicate a very professional development team rather than a collection of disparate package cobble together in one boxi like its ease of use a lot after a few hour of modify some sample and then do a few simple plan from scratch i feel very capable of use all the features i need a few years ago i try it was painful difficult to use and it had only a small subset of punch s features i finally i gave up use it every d cad program has unique ways to place and draw object rotate pan zoom scale view and navigate and so on in the d universe punch is definitely one of the easiest ive liveview is immensely helpful in showing a perspective view of the d plan you are working you can navigate in two ways walkthrough is generally better for view inside the house and better for is at a constant but adjust height where you move forward or backwards and can rotate pan to any angle its like walking through the design at eyeball level the camera is always in a horizontal direction unfortunately this do not allow you to look up at the ceiling but you can select a wide angle that show some of the is like a view from a helicopter you orbit a fixed point at variable altitude and distance from the center point always aim exactly at the center of the orbit its shown on the d plan and can easily be move you are always look downward from the helicopter unfortunately you cannot look vertical down because the max downward angle seem to be only degree below horizontal an unnecessary has ways to render the picture i especially like clearview which is a d bw drawing that allow the transparency of wall and other object to range from almost clear to fully opaque sometimes its very handy to see what on the other side of a wall of the room youre working in clearview rendering speed is very fast is a little slow with quality detail setting and shadow setting off low and is display its own window which make it easy to move and resize the d view as you work with the d plan this feature is certainly more flexible and much more practical than force it into one of corner or such similar limitation that some other d cad impose every feature they claim they have they actually do provide and in a consistent and integrated user interface that all work well togetherthere are a few minor glitche the limitation of view angle mention above should be relax walkthrough is tricky in that it is too easy to move forwardbackward when you only want to pan rotate its too easy to accidental pop through a wall when you only want to look around the room this could easily fixed with a shift key or such that would lock one movement direction and allow the zoom and pan is inconvenient in that you must use the mouse no keyboard command for zoom and it seem to get out of control often way too fast visio zoom is the easiest ive ever encounter key plus mouse buttons do all pan and zoom instantly and easily with fine control every d cad should use it similarly more of the toolbar selection should have keyboard commandsthere are provided floor plan that go from simple to complex designs these are excellent to play around with and learn what possible but none of them have texture or object the wall floor roof landscape are bare no furniture fixture or plumbing total devoid of human what a lost opportunity to exhibit many of punch really great featuresthe most serious deficiency is get wall to properly intersect with the roof punch provide roof type plus some very useful freehand roof designing tool it is incredible easy to add roof to complex floor plan but you are compel to manual calculate the heights of all points on each wall where it intersect the roof by use trig or a drawing on a paper it is hard to describe this problem in words ill try a simple example you have a large main area and a small attach room to the side what do the roof look like for this lshape plan one roof cannot cover the whole thing with punch it is easy to select and place a suitable roof design over the two area here the problem the common wall of the large area attach the small area will extend up to the two roof the wall has a complex punch has this shape among its wall selection but you must specify the elevation and length of the oddly shaped wall if you make them too large the wall sticks up above the roof too small and there is a gap under the roof big bird can fly through it some of the sample plan show this problem p ironically liveview must perform these calculation in order to render a d view punch desperate needs the command extent wall vertical to in all as is a fine piece of software lot of features easy to use and with minor nit
2) better than godzilla cable get these cheap cable they are as good as expensive monster cable better actually why hdmi is a only cable there is no analog signal to get religious about bit is bit a monster zero is no more than a cable zero ditto for one here some fun fact the hdmi spec tell us that all hdmi cable have to be certify as meeting the standard in order to use the hdmi name hdmi runs a gbp gigabit per second for perspective this is times fast than usb at mbp fastthe standard was clever design to be robust reliable efficient low power high capacity and low cost to manufacture the hdmi cable contain highspee lowpower shield connection in addition to volt power and some lowspee digital signal for device to talk back and forth to each other three of the highspee connection carry respectively the red green and blue uncompress video bitstream the fourth carry a synchronous clock which cunning allow the receiving chip to economically recover the bit in the other channel at this extreme speed uncompress audio is also sent on a time slice basis over the video channel whereas the spec support gbp your bluray player rarely exceed gbp depend on content such as color depth and the number of audio channel there plenty of excess capacity in your cheap cable read the faq and white papers at hdmi dot org for moreso why is this dinky cable better than an expensive one the expensive brand have cable with unnecessary long connect this must give the appearance of being total awesome however the wire inside are the same size and layout as for any other hdmi cable they must be in order to match electrical capacitance impedance and shield parameter require conform to the gbp spec but important this bulky bloated thickness put weight and tension on the connect of your expensive lcd tv and bluray player and other equip why would you want to put mechanical stress on these socket bad idea and their bit are not better bit just s and s
3) shipping charge check the shipping charge before buy its item which make it more expensive than a kingston gb sd at directly from amazon when you reach the free shipping situation
4) love the gb hd anyone run gb on usb power review for gb and gb drive are combine here so its not clear about gb drive power i have the gb and it runs from usb power love it but need more technical detail for the gb drive state power via external acpower supply included and some reviewer report that the external supply is necessary other report otherwise about their simpletech drivecan the gb drive operate from the usb port without the external ac not all usb port are create equal in terms of how much power they can deliver i have the gb and it would not run on one usb laptop port but would run on an adjacent port iow one port could not supply enough current whereas the other could ditto for various usb port on my desktop some work some did not i belabor this point because there was no indication from the st drive that it was insufficient power the led lit ok but the drive simply click away in futile desperation while try to spin upso i am guess that the reviewer who couldnt get the gb to work on their pclaptop did not connect to a highpowere port can anyone confirm that the gb drive runs on usb power alone thanx
5) too slow if you have usb dont bother with this antique drive it runs at a max of about mbytessec slow down to about or mbs after mb or so this means it can take over hour to fill itinstead get asandisk extreme gb usb flash drive up to mbs this fantastic usb drive is advert to run mbs i certainly beat that as measured by hd tune read test at mbs writing i got around mbs when copy from an ssdnote you wont get this speed if youre copy from a laptop hd as youre lucky to get much more than mbs from a rpm drive but that still better than times fast than a usb drive such as this oneif you do have an ssd drive and usb port you can get better than mbs with the sandisk extreme that more than times fast",Punch! Home Design Architectural Series 18 [Old Version],https://images-na.ssl-images-amazon.com/images/I/61D214BNE2L._AC_SX385_.jpg,[]
161252-9923-691-11587,A3IL5XA8XYBPUD,software lifestyle hobby home garden design,B00006SIJQ,0.833677,"1. This product was retrieved because the user often buys products of brand 'Logitech' and 'B00006SIJQ' is also associated with brand 'Logitech'
2. This product was retrieved because the user often buys products in category 'Software' and 'B00006SIJQ' is also associated with category 'Software'
3. This product was retrieved because the user often buys products of brand 'Canon' and 'B00006SIJQ' is also associated with brand 'Canon'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B0026RHUQC' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to product 'B0052YFYFK' which is also related to the query
","1) many useful features very easy to use only minor glitche punch as is very stable especially for the wide set of features and capabilities it provide it has never crash for me use window xp this indicate a very professional development team rather than a collection of disparate package cobble together in one boxi like its ease of use a lot after a few hour of modify some sample and then do a few simple plan from scratch i feel very capable of use all the features i need a few years ago i try it was painful difficult to use and it had only a small subset of punch s features i finally i gave up use it every d cad program has unique ways to place and draw object rotate pan zoom scale view and navigate and so on in the d universe punch is definitely one of the easiest ive liveview is immensely helpful in showing a perspective view of the d plan you are working you can navigate in two ways walkthrough is generally better for view inside the house and better for is at a constant but adjust height where you move forward or backwards and can rotate pan to any angle its like walking through the design at eyeball level the camera is always in a horizontal direction unfortunately this do not allow you to look up at the ceiling but you can select a wide angle that show some of the is like a view from a helicopter you orbit a fixed point at variable altitude and distance from the center point always aim exactly at the center of the orbit its shown on the d plan and can easily be move you are always look downward from the helicopter unfortunately you cannot look vertical down because the max downward angle seem to be only degree below horizontal an unnecessary has ways to render the picture i especially like clearview which is a d bw drawing that allow the transparency of wall and other object to range from almost clear to fully opaque sometimes its very handy to see what on the other side of a wall of the room youre working in clearview rendering speed is very fast is a little slow with quality detail setting and shadow setting off low and is display its own window which make it easy to move and resize the d view as you work with the d plan this feature is certainly more flexible and much more practical than force it into one of corner or such similar limitation that some other d cad impose every feature they claim they have they actually do provide and in a consistent and integrated user interface that all work well togetherthere are a few minor glitche the limitation of view angle mention above should be relax walkthrough is tricky in that it is too easy to move forwardbackward when you only want to pan rotate its too easy to accidental pop through a wall when you only want to look around the room this could easily fixed with a shift key or such that would lock one movement direction and allow the zoom and pan is inconvenient in that you must use the mouse no keyboard command for zoom and it seem to get out of control often way too fast visio zoom is the easiest ive ever encounter key plus mouse buttons do all pan and zoom instantly and easily with fine control every d cad should use it similarly more of the toolbar selection should have keyboard commandsthere are provided floor plan that go from simple to complex designs these are excellent to play around with and learn what possible but none of them have texture or object the wall floor roof landscape are bare no furniture fixture or plumbing total devoid of human what a lost opportunity to exhibit many of punch really great featuresthe most serious deficiency is get wall to properly intersect with the roof punch provide roof type plus some very useful freehand roof designing tool it is incredible easy to add roof to complex floor plan but you are compel to manual calculate the heights of all points on each wall where it intersect the roof by use trig or a drawing on a paper it is hard to describe this problem in words ill try a simple example you have a large main area and a small attach room to the side what do the roof look like for this lshape plan one roof cannot cover the whole thing with punch it is easy to select and place a suitable roof design over the two area here the problem the common wall of the large area attach the small area will extend up to the two roof the wall has a complex punch has this shape among its wall selection but you must specify the elevation and length of the oddly shaped wall if you make them too large the wall sticks up above the roof too small and there is a gap under the roof big bird can fly through it some of the sample plan show this problem p ironically liveview must perform these calculation in order to render a d view punch desperate needs the command extent wall vertical to in all as is a fine piece of software lot of features easy to use and with minor nit
2) better than godzilla cable get these cheap cable they are as good as expensive monster cable better actually why hdmi is a only cable there is no analog signal to get religious about bit is bit a monster zero is no more than a cable zero ditto for one here some fun fact the hdmi spec tell us that all hdmi cable have to be certify as meeting the standard in order to use the hdmi name hdmi runs a gbp gigabit per second for perspective this is times fast than usb at mbp fastthe standard was clever design to be robust reliable efficient low power high capacity and low cost to manufacture the hdmi cable contain highspee lowpower shield connection in addition to volt power and some lowspee digital signal for device to talk back and forth to each other three of the highspee connection carry respectively the red green and blue uncompress video bitstream the fourth carry a synchronous clock which cunning allow the receiving chip to economically recover the bit in the other channel at this extreme speed uncompress audio is also sent on a time slice basis over the video channel whereas the spec support gbp your bluray player rarely exceed gbp depend on content such as color depth and the number of audio channel there plenty of excess capacity in your cheap cable read the faq and white papers at hdmi dot org for moreso why is this dinky cable better than an expensive one the expensive brand have cable with unnecessary long connect this must give the appearance of being total awesome however the wire inside are the same size and layout as for any other hdmi cable they must be in order to match electrical capacitance impedance and shield parameter require conform to the gbp spec but important this bulky bloated thickness put weight and tension on the connect of your expensive lcd tv and bluray player and other equip why would you want to put mechanical stress on these socket bad idea and their bit are not better bit just s and s
3) shipping charge check the shipping charge before buy its item which make it more expensive than a kingston gb sd at directly from amazon when you reach the free shipping situation
4) love the gb hd anyone run gb on usb power review for gb and gb drive are combine here so its not clear about gb drive power i have the gb and it runs from usb power love it but need more technical detail for the gb drive state power via external acpower supply included and some reviewer report that the external supply is necessary other report otherwise about their simpletech drivecan the gb drive operate from the usb port without the external ac not all usb port are create equal in terms of how much power they can deliver i have the gb and it would not run on one usb laptop port but would run on an adjacent port iow one port could not supply enough current whereas the other could ditto for various usb port on my desktop some work some did not i belabor this point because there was no indication from the st drive that it was insufficient power the led lit ok but the drive simply click away in futile desperation while try to spin upso i am guess that the reviewer who couldnt get the gb to work on their pclaptop did not connect to a highpowere port can anyone confirm that the gb drive runs on usb power alone thanx
5) too slow if you have usb dont bother with this antique drive it runs at a max of about mbytessec slow down to about or mbs after mb or so this means it can take over hour to fill itinstead get asandisk extreme gb usb flash drive up to mbs this fantastic usb drive is advert to run mbs i certainly beat that as measured by hd tune read test at mbs writing i got around mbs when copy from an ssdnote you wont get this speed if youre copy from a laptop hd as youre lucky to get much more than mbs from a rpm drive but that still better than times fast than a usb drive such as this oneif you do have an ssd drive and usb port you can get better than mbs with the sandisk extreme that more than times fast",Punch! Home Design Architectural Series 18 [Old Version],https://images-na.ssl-images-amazon.com/images/I/61D214BNE2L._AC_SX385_.jpg,[]
31681-1455-354-14128,A2WNDYN99IOG54,software design illustration,B00008NNY0,0.9791749,"1. This product was retrieved because the user often buys products in category 'Software' and 'B00008NNY0' is also associated with category 'Software'
2. This product was retrieved because the user often buys products of brand 'Logitech' and 'B00008NNY0' is also associated with brand 'Logitech'
3. This product was retrieved because the user often buys products of brand 'Corsair' and 'B00008NNY0' is also associated with brand 'Corsair'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B006JILARE' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to category 'Networking Products' which is also related to the query
","1) too old this product probably was great years ago when it was made and sold it seem to not work with win unless you download a patch or a driver from pinnacle i finally got it to work and it will copy as long as the program you want to burn is not copy protect
2) great product i bought of these and they have to be the best outlet surge protector on the market you can plug just about any type of plug on this thing and it looks very organized when you have more than one plug in it
3) spare supply i bought this power supply to have as a back up and havent use it yet im sure its a good product because i have bought other coolmax product and have been very pleased with them in fact the present power supply in my computer im use now is a coolmax and i like the fact that they are very quiet
4) notice difference i replace my old ram with these and i must say i notice a difference in the speed of my computer i didnt think these would have an effect on the speed but it did so im pretty happy i bought this brand
5) it work most motherboard and power supplies use a pin or eight pin power connection for the motherboard i didnt know that my board has a pin power socket and the power supply i bought has the eight pin plug this adaptor save me from either change the power supply or the motherbord",Pinnacle Instant Cd/DVD,https://images-na.ssl-images-amazon.com/images/I/51FXCZ4Z0ML._AC_SX342_.jpg,"['The all-in-one disc creation software tool', 'Copy and backup your most important discs', 'Create photo and video slideshows', 'Create Great Music CDs']"
31681-1455-356-14128,A2WNDYN99IOG54,software video,B00008NNY0,0.9987674,"1. This product was retrieved because the user often buys products in category 'Software' and 'B00008NNY0' is also associated with category 'Software'
2. This product was retrieved because the user often buys products of brand 'Corsair' and 'B00008NNY0' is also associated with brand 'Corsair'
3. This product was retrieved because the user often buys products of brand 'Logitech' and 'B00008NNY0' is also associated with brand 'Logitech'
","1. This product was retrieved for this query because of the product's popularity
2. This product was retrieved for this query because the user often buys products related to product 'B0014F7Z94' which is also related to the query
3. This product was retrieved for this query because the user often buys products related to category 'Networking Products' which is also related to the query
","1) too old this product probably was great years ago when it was made and sold it seem to not work with win unless you download a patch or a driver from pinnacle i finally got it to work and it will copy as long as the program you want to burn is not copy protect
2) great product i bought of these and they have to be the best outlet surge protector on the market you can plug just about any type of plug on this thing and it looks very organized when you have more than one plug in it
3) spare supply i bought this power supply to have as a back up and havent use it yet im sure its a good product because i have bought other coolmax product and have been very pleased with them in fact the present power supply in my computer im use now is a coolmax and i like the fact that they are very quiet
4) notice difference i replace my old ram with these and i must say i notice a difference in the speed of my computer i didnt think these would have an effect on the speed but it did so im pretty happy i bought this brand
5) it work most motherboard and power supplies use a pin or eight pin power connection for the motherboard i didnt know that my board has a pin power socket and the power supply i bought has the eight pin plug this adaptor save me from either change the power supply or the motherbord",Pinnacle Instant Cd/DVD,https://images-na.ssl-images-amazon.com/images/I/51FXCZ4Z0ML._AC_SX342_.jpg,"['The all-in-one disc creation software tool', 'Copy and backup your most important discs', 'Create photo and video slideshows', 'Create Great Music CDs']"
